,Project Name,Approved Budget,Start Date,End Date,Name Of Awarded Company,Amount Awarded,Date Of Award,Acceptance Date,Procuring Entity,Money Ratio,Category,,,
2203,PROVISION OF DRESSED CHICKEN FOR THE CONSTITUENTS OF ROXAS,1427500,28/04/2020,21/05/2020,NINO KARL JAY TRADING,1427500,24/04/2020,24/04/2020,"Municipality of Roxas, Palawan",1,Not classified,,,
2204,Supply  and Delivery of Food and Other Supplies Related to COVID-19 Outbreak-GOODS,1425000,28/04/2020,25/06/2020,Centro Supersales INC.,1425000,28/04/2020,28/04/2020,MUNICIPAL GOVERNMENT OF MARAMAG,1,Not classified,,,
2205,Emergency purchase of regular slotted cartons (RSC) for the repacking of family food packs inteded for response to COVID-19 related requests from LGUs,1425000,26/05/2020,16/06/2020,GREENSTONE PACKAGING CORPORATION,1425000,07/05/2020,26/05/2020,DEPARTMENT OF SOCIAL WELFARE AND DEVELOPMENT FO V,1,Not classified,,,
2206,Negotiated Procurement (Emergency Cases Under Sec. 53.2) for the Supply and Delivery of Personal Protective Equipment (PPE) for the use in the Roxas Memorial Provincial Hospital,1425000,26/05/2020,27/05/2020,"Mitsui Trading Phil., LTD. Co.",1425000,22/05/2020,27/05/2020,Capiz Provincial Government,1,Not classified,,,
2207,Supply and Delivery of Package of Supplemental Food and Non-Food Items Under The PaSSOver:ARBold Move for Deliverance of ARBs from the COVID-19 Pandemic,1423000,12/05/2020,19/05/2020,ANICIA T. PAMPANGAN TRADING,1423000,11/05/2020,11/05/2020,DAR-NUEVA ECIJA,1,Not classified,,,
2208,"3000 pcs Isolation Gown made of microfiber material, water repellant, autoclavable",1425000,15/05/2020,25/05/2020,APCO MEDICAL SUPPLY AND SERVICES,1419000,06/05/2020,15/05/2020,Western Visayas Medical Center,0.995789474,Not classified,,,
2209,"Procurement of Powdered Cereal Drink (Lot 2), Canned Sardines (Lot 3) and Canned Corned Beef/ Canned Meat (Lot 5) as Raw Materials for the Family Food Packs Production for COVID-19 Response",2358600,14/05/2020,28/05/2020,Candido G. Martir Agro Industrial Development Corporation,1417780.9,13/05/2020,13/05/2020,Department of Social Welfare and Development Field Office VI,0.60111121,Not classified,,,
2210,PURCHASE OF WELFARE GOODS,1414956,07/05/2020,11/05/2020,PCSM TRADING,1414956,04/05/2020,11/05/2020,MUNICIPAL GOVERNMENT OF SAN PASCUAL,1,Not classified,,,
2211,"Purchase of various medicines, medical supplies and materials to be used in the conduct of preventive measure activities in order to combat the threat of COVID-19 at LGU-Lingayen, Pangasinan",1417927,13/04/2020,14/04/2020,KCJ General Merchandise,1413297,13/04/2020,14/07/2020,Local Government Unit of Lingayen,0.99673467,Not classified,,,
2212,Emeregency Purchase for the Procurement of Surgical Facemask and Isolation Gown,1409010,15/04/2020,29/04/2020,Sta. Ana Enterprises,1409010,15/04/2020,15/04/2020,Mariveles Mental Wellness And General Hospital,1,Not classified,,,
2213,"Supply and delivery of various COVID 19 related laboratory standards, reagents and media for Alabang Testing and Quality Assurance Laboratory (ATQAL) and Cebu Testing and Quality Assuarance Laboratory",2969142.57,01/07/2020,17/07/2020,"Harnwell Chemicals Corporation AE Alchemist, Inc Yana Chemodities Inc Glenwoods",1408487.97,22/05/2020,05/06/2020,FOOD AND DRUG ADMINISTRATION,0.474375324,Not classified,,,
2214,"Procurement of Various Drugs and Medicines, Vaccines and Laboratory/Medical Supplies for the Province of Aklan Funded under the Bayanihan Grant to Provinces",1415439.3,01/06/2020,25/06/2020,Loriel Pharmaceuticare,1408150,28/05/2020,01/06/2020,Provincial Government of Aklan,0.99485015,Not classified,,,
2215,Relief Goods/Food Assistance for affected household during extended ECQ,14000000,04/05/2020,19/05/2020,SWANA MERCANTILE Inc.,1406500,03/05/2020,04/05/2020,City Government of Tacurong,0.100464286,Not classified,,,
2216,Purchase of Various Medical Supplies,1405700,30/04/2021,04/05/2020,CONSOLE MARKETING,1405700,30/04/2020,04/05/2020,Benguet Provincial Government,1,Not classified,,,
2217,"5 bot Nuclease-free molecular grade water, 500ml ; 200 box Pipette tip, 1000uL ;100 box Pipette tip, 200uL etc.",1443500,24/04/2020,05/05/2020,"MEDICAL TEST SYSTEMS, INC.",1404400,20/04/2020,24/04/2020,Western Visayas Medical Center,0.972913059,Not classified,,,
2218,PROCUREMENT OF VARIOUS MEDICINES,1410088.3,26/05/2020,26/05/2020,VSAM PHARMACEUTICAL PRODUCT DISTRIBUTION,1403608.3,26/05/2020,26/05/2020,MUNICIPAL GOVERNMENT OF SUAL,0.995404543,Not classified,,,
2219,Emergency Purchased of food Supplies( dressed Chicken),1403000,30/03/2020,30/04/2020,NCN MARKETING,1403000,30/04/2020,30/04/2020,MUNICIPALITY OF BACO,1,Not classified,,,
2220,"Repair and Improvement of Isolation Facilities at Barangay Buenavista, Borocboroc and Rombang",1410000,27/04/2020,27/05/2020,TRIPLE-DOUBLE CONSTRUCTION AND SUPPLY,1401101.03,27/04/2020,27/04/2020,"LGU-Belison, Antique",0.993688674,Not classified,,,
2221,Procurement of Various Medical Supplies,2721130,01/06/2020,08/06/2020,4KMB General Merchandise,1400320,19/05/2020,20/05/2020,Bicol Regional Training and Teaching Hospital,0.514609739,Not classified,,,
2222,Biological Safety Cabinet Class II,1900000,02/06/2020,17/06/2020,Rainphil Inc,1400000,29/05/2020,29/05/2020,Bataan General Hospital and Medical Center,0.736842105,Not classified,,,
2223,PURCHASE OF PPE BREATHABLE COVERALL SUIT,1400000,09/05/2020,30/05/2020,BOSTON HOME INC.,1400000,09/05/2020,29/05/2020,PHILIPPINE NATIONAL RAILWAYS,1,Not classified,,,
2224,Negotiated Procurement (Emergency Purchase Under Section 53.2) for the Supply and Delivery of Personal Protective Equipment (PPE) for the use in the Roxas Memorial Provincial Hospital,1400000,01/06/2020,04/06/2020,NGB MARKETING,1400000,29/05/2020,04/06/2020,Capiz Provincial Government,1,Not classified,,,
2225,Supply and Delivery of Rice (700 Sacks of Rice 50 kls),1400000,13/05/2020,18/05/2020,Marcela A. Pagsolingan,1400000,12/05/2020,12/05/2020,LGU- Mangaldan,1,Not classified,,,
2226,Purchase of Various Relief Goods to be Distributed to Affected Families (COVIID-19),1478000,14/04/2020,15/04/2020,77CSV CORPORATION,1399814.65,14/04/2020,15/04/2020,"MUNICIPALITY OF MOLAVE, ZAMBOANGA DEL SUR",0.947100575,Not classified,,,
2227,Purchase of Various Medical Supplies,1399570,30/04/2020,06/05/2020,GOLDSEAL MEDICAL TRADING CORP.,1399570,30/04/2020,05/04/2020,Benguet Provincial Government,1,Not classified,,,
2228,Purchase of additional raw materials (instant coffee) for family food packs/stockpile in response to COVID-19 related requests from LGUs,1400000,26/03/2020,10/04/2020,GOLDEN CIRCLE ENTERPRISES,1399000,25/03/2020,26/03/2020,DEPARTMENT OF SOCIAL WELFARE AND DEVELOPMENT FO V,0.999285714,Not classified,,,
2229,PURCHASE OF VARIOUS MEDICINES,1399862,19/05/2020,04/07/2020,B-SHINE PHARMA,1396780,19/05/2020,21/05/2020,LGU Banate,0.997798354,Not classified,,,
2230,PURCHASE OF VITAMINS AND MEDICINES FOR COVID19 SUSPECT AND FRONTLINERS,1395230,03/06/2020,22/06/2020,LEEAN MEDICAL AND SURGICAL SUPPLY,1395230,02/06/2020,03/06/2020,"MUNICIPALITY OF CARMEN, CEBU",1,Not classified,,,
2231,PURCHASE OF RICE FOR RELIEF GOODS (3RD WAVE-BAYANIHAN GRANT) AMID COVID 19 OF THE MUNICIPALITY OF CATANAUAN,7000000,30/04/2020,30/04/2020,CASAL STORE,1395200,28/04/2020,28/04/2020,"LOCAL GOVERNMENT UNIT-CATANAUAN, QUEZON",0.199314286,Not classified,,,
2232,SUPPLY & DELIVERY OF ASSORTED RELIEF GOODS,1426378,30/04/2020,04/05/2020,BEE BEE BAZAR,1392613.6,30/04/2020,30/04/2020,"LGU-MUNICIPALITY OF MALINAO, AKLAN",0.976328575,Not classified,,,
2233,Purchase of Food Supplies for Relief Operation-2,1389116.8,08/04/2020,28/04/2020,Angelson Store,1389116.8,08/04/2020,30/04/2020,Local Government Unit - Baao,1,Not classified,,,
2234,PASSover:ARBod Move for Deliverance of our ARBs from the COVID-19 Pandemic Component-2 Farm Productivity Assistance Program of DAR to ARBs,2623640,22/06/2020,30/06/2020,Ellen's Agrivet Supplies,1385380,22/06/2020,22/06/2020,DAR-PALAWAN,0.528037383,Not classified,,,
2235,Supply and Delivery of Premium Rice,1385045,27/05/2020,02/06/2020,SRRN Trading,1385045,27/05/2020,02/06/2020,CITY GOVERNMENT OF CABUYAO,1,Not classified,,,
2236,Supply and delivery of relief goods (rice),1384500,13/04/2020,14/04/2020,Globes Store or Gloria Rama,1384500,13/04/2020,14/04/2020,Local Government Unit of Sulop,1,Not classified,,,
2237,Procurement of relief goods(essentials),1403571,22/05/2020,29/05/2020,V-Tech Ventures,1382522,22/05/2020,25/05/2020,Municipality of Alimodian,0.985003252,Not classified,,,
2238,SUPPLY AND DELIVERY OF COVID RESPONSE- HYGIENIC HAND PAPER,1382500,23/03/2020,02/04/2020,SUPPLY AND DELIVERY OF COVID RESPONSE-HYGIENIC HAND PAPER,1382500,28/05/2020,28/07/2020,CAGAYAN VALLEY MEDICAL CENTER,1,Not classified,,,
2239,Procurement for the Supply & Delivery of Drugs & Medicine,1380500,24/04/2020,24/05/2020,SAN ANTONIO DISTRIBUTION,1380500,22/04/2020,22/04/2020,LGU-Olongapo City,1,Not classified,,,
2240,Procurement of ultra low freezer,1380000,05/05/2020,12/05/2020,"ZAFIRE DISTRIBUTORS, INC.",1380000,04/05/2020,05/05/2020,Jose B. Lingad Memorial General Hospital,1,Not classified,,,
2241,"DTI Pangkabuhayan sa Pagbangon at Ginhawa (PBG) for Fire Victims MSMES of Kalibo Public Market and Ambulong Boracay, and Displaced Workers in Boracay",1380000,18/06/2020,20/07/2020,EJ Marketing,1380000,17/06/2020,18/06/2020,Department of Trade and Industry,1,Not classified,,,
2242,Procurement of Supplies and Equipment for the Operation and Maintenance of Triage,1379000,05/05/2020,10/05/2020,REDWINGS TRADING,1379000,30/04/2020,05/05/2020,Provincial Government of Nueva Ecija,1,Not classified,,,
2243,Food assistance to affected household,1391500,20/05/2020,15/06/2020,ROLANDO REYES JR FISH TRADING,1378850,05/06/2020,15/06/2020,"LGU- LEMERY, BATANGAS",0.990909091,Not classified,,,
2244,"Purchase of 38,300 pcs. Surgical",1378800,30/04/2020,11/05/2020,CHUMS Pharma Distributor,1378800,06/05/2020,11/05/2020,Provincial Government of Pangasinan,1,Not classified,,,
2245,Food Supplies Expenses (Rice),1506500,18/06/2020,02/07/2020,A.G. CAPARROS MART,1375500,18/06/2020,02/07/2020,LGU Perez Quezon,0.913043478,Not classified,,,
2246,Supply and Installation of Exhaust Fan and Flexiduct,1785000,11/06/2020,18/06/2020,JDL SIPHONING AND PLUMBING SERVICES,1370403.07,01/06/2020,02/06/2020,PHILIPPINE ORTHOPEDIC CENTER,0.767732812,Not classified,,,
2247,ONE (1) UNIT CEILING MOUNTED LED SURGICAL LIGHT DUAL ARM-2 LAMPS,1370000,19/06/2020,23/06/2020,JUNIPER 3 PROC CORP,1370000,23/06/2020,23/06/2020,VETERANS MEMORIAL MEDICAL CENTER,1,Not classified,,,
2248,Procurement of Transport Ventilator,1400000,23/06/2020,23/07/2020,Berovan Marketing Inc.,1370000,16/06/2020,23/06/2020,Don Jose S. Monfort Medical Center Extension Hospital,0.978571429,Not classified,,,
2249,PROCUREMENT OF ASSORTED GOODS FOR DISTRIBUTION PER HOUSEHOLD,1380000,01/06/2020,15/06/2020,ADTEMPCO,1366792.27,09/06/2020,10/06/2020,"LGU-LUBA, ABRA",0.990429181,Not classified,,,
2250,Catering Services for Meals for Frontliners and Skeletal Workforce during ECQ,1366410,01/05/2020,15/05/2020,Red Table Food Services,1366410,30/04/2020,30/04/2020,Subic Bay Metropolitan Authority,1,Not classified,,,
2251,Purchase of Welfare Goods (Rice),1495000,07/05/2020,14/05/2020,IMV RICE AND PALAY TRADING,1365000,11/05/2020,13/05/2020,Municipality of Agoncillo,0.913043478,Not classified,,,
2252,"Supply and Delivery of 12,399.30 Kilos of Dressed Chicken",1363923,15/05/2020,22/05/2020,Las Vegas Marketing,1363923,15/05/2020,22/05/2020,"Local Government Unit - Cauayan City, Isabela",1,Not classified,,,
2253,RE: THE PASSOVER: ARBOLD MOVE FOR DELIVERANCE OF OUR FARMERS FROM THE COVID-19 PANDEMIC PROJECT,1362036,22/06/2020,28/06/2020,INDRINAL FARMER'S MART,1361777,22/06/2020,22/06/2020,DEPARTMENT OF AGRARIAN REFORM-QUEZON II,0.999809843,Not classified,,,
2254,Medical Supplies,1361000,05/05/2020,27/05/2020,Kingstar Pharma,1361000,05/05/2020,27/05/2020,City Government of Cadiz,1,Not classified,,,
2255,Purchase of Pork,1360000,10/06/2020,26/06/2020,Tejada-Ramos Dressed Chicken & Meatchop,1360000,10/06/2020,26/06/2020,MUNICIPALITY OF MAKATO,1,Not classified,,,
2256,LABORATORY AND MEDICAL SUPPLIES FOR CL CHD,7026475,17/06/2020,24/06/2020,"PHIL PHARMA WEALTH, INC",1360000,09/06/2020,17/06/2020,Department of Health Center for Health Development,0.193553667,Not classified,,,
2257,Supply and Delivery of Various Medical Equipment,1900000,15/06/2020,17/06/2020,Tesoro Enterprises,1357635,11/06/2020,17/06/2020,PROVINCE OF CAGAYAN,0.714544737,Not classified,,,
2258,Supply and Delivery of Branded and Brand New Laboratory Equipment for the COVID-19 Testing Laboratory,1357000,30/04/2020,23/06/2020,YANA Chemodities,1357000,30/04/2020,30/04/2020,University of the Philippines Los Ba\\u00c3\\u00b1os,1,Not classified,,,
2259,Purchase of Welfare Goods,1356600,23/04/2020,23/06/2020,I.M. Alivia's Supermart,1356600,24/04/2020,24/04/2020,"LGU-San Mateo, Isabela",1,Not classified,,,
2260,Supply & Delivery of Disinfectant,1356400,04/05/2020,05/05/2020,Greenland Agri-Business Trading,1355200,29/04/2020,05/05/2020,Capiz Provincial Government,0.999115305,Not classified,,,
2261,Procurement of Coverall Non-Woven (For COVID-19),1350000,30/04/2020,01/05/2020,Medical Center Trading Corporation,1350000,27/04/2020,09/06/2020,Dr. Jose Fabella Memorial Hospital,1,Not classified,,,
2262,"Procurement of Alcohol, Face Mask and Vitamins for Operation due to COVID-19",1350000,22/04/2020,29/04/2020,Affordrugs and General Merchandise,1350000,22/04/2020,22/04/2020,"Municipality of Cabiao, Nueva Ecija",1,Not classified,,,
2263,Procurement of Medical Supplies,1350000,16/04/2020,20/04/2020,Loves Medical Equipment & Supplies,1350000,13/04/2020,15/04/2020,Bicol Regional Training and Teaching Hospital,1,Not classified,,,
2264,"SUPPLY, DELIVERY AND COMMISSIONING OF COVID RESPONSE EQUIPMENT- SUCTION MACHINE AND INFUSION PUMP",1349600,06/07/2020,13/07/2020,DYNAMED HEALTHCARE INCORPORATED,1349600,09/06/2020,15/06/2020,CAGAYAN VALLEY MEDICAL CENTER,1,Not classified,,,
2265,"Procurement of Various Supplies and Equipment to Contain Covid-19 Pandemic Charge to Bayanihan Grant flr Cities and Municipalities per LBC No. 125 2020 dated April 7, 2020",6806376,28/04/2020,05/05/2020,Thea Computer Sales Services & Enterprises,1348563.75,27/04/2020,27/04/2020,LGU-SIBUTAD,0.19813242,Not classified,,,
2266,PURCHASE OF MEDICAL SUPPLIES,1348500,07/05/2020,22/05/2020,COGNOA INTERNATIONAL INC,1348500,07/05/2020,07/07/2020,LGU- San Miguel Bulacan,1,Not classified,,,
2267,Purchase of Milled Rice for Relief Operation of Covid 19,1346713.8,11/05/2020,11/05/2020,WMA BUY AND SELL,1346713.8,05/05/2020,07/05/2020,MUNICIPALITY OF COMPOSTELA,1,Not classified,,,
2268,"PURCHASE OF AIRSTREAM CLASS II, BIOLOGICAL SAFETY (S-SERIES), 6FT/1.8M SUPPORT STAND WITH CASTER WHEELS (HEIGHT 28*) FOR 6FT CABINETS, UV LAMP FOR 4FT,5FT,6FT, CABINETS EXCEPT AC3-4B, AMERICAN STYLE S",1346563.7,15/04/2020,22/04/2020,GRAMAN MEDICAL TRADING,1346563.68,15/04/2020,15/04/2020,Provincial Government of Bulacan,0.999999985,Not classified,,,
2269,"Various Equipment, Supplies and Materials for Covid 19 testing",1345000,08/06/2020,30/06/2020,Cred General Trading,1345000,08/06/2020,08/06/2020,Mariano Marcos Memorial Hospital and Medical Center,1,Not classified,,,
2270,SUPPLY AND DELIVERY OF OTHER SUPPLIES,1581500,03/07/2020,10/07/2020,P.T. CERNA CORPORATION,1344500,24/06/2020,26/06/2020,City Government of Panabo,0.85014227,Not classified,,,
2271,Provision Of Room Accommodation For Covid19 (Quarantine Facility),1344000,15/04/2020,07/06/2020,SUNFLOWER DRIVE INN,1344000,15/06/2020,07/06/2020,LGU TUGUEGARAO,1,Not classified,,,
2272,Relief Goods/Food Assistance for affected household during extended ECQ,14000000,09/05/2020,23/05/2020,SELLMARK STORE,1344000,04/05/2020,05/05/2020,City Government of Tacurong,0.096,Not classified,,,
2273,Procurement of Additional Drugs and Medicines through Negotiated Procurement (Emergency Cases),1343868.4,03/04/2020,09/04/2020,First Bay Pharma Distributor,1343868.4,01/04/2020,09/04/2020,BUREAU OF JAIL MANAGEMENT AND PENOLOGY - REGION VII,1,Not classified,,,
2274,Various Agricultural Supplies,1341000,22/05/2020,22/06/2020,AJJ Trading,1341000,12/05/2020,13/05/2020,Department of Agriculture RFO 5,1,Not classified,,,
2275,Biological Safety Cabinet Class II,1900000,17/06/2020,02/07/2020,Rainphil Inc,1340000,15/06/2020,16/06/2020,Bataan General Hospital and Medical Center,0.705263158,Not classified,,,
2276,Purchase of Medicines and Medical Supplies,1500000,23/04/2020,30/04/2020,Reta Drug,1339658.72,23/04/2020,24/04/2020,Municipal Government of Paracelis,0.893105813,Not classified,,,
2277,Procurement of Hospital Equipment and Supplies,1465400,30/04/2020,12/05/2020,L-Zay Medical Enterprise,1339600,30/04/2020,30/04/2020,"MUNICIPALITY OF QUIRINO, ILOCOS SUR",0.914153132,Not classified,,,
2278,PURCHASE OF DRESSED CHICKEN,145666.25,24/04/2020,24/04/2020,MARA AGRIPOULTRY MARKETING CORPORATION,1338847.66,24/04/2020,24/04/2020,"Municipality of Dingle, Iloilo",9.191200158,Not classified,,,
2279,Rapid Test Kit for COVID 19/SARS COV 2/Neg. Proc. No. N-2020-05-030,15162100,21/05/2020,28/05/2020,ONE TOP MEDICAL SYSTEMS RESOURCES,1335000,13/05/2020,15/05/2020,Province of Antique,0.088048489,Not classified,,,
2280,SUPPLY AND DELIVERY OF SIX HUNDRED (600) CASES SARDINES,1335000,24/04/2020,27/04/2020,RHOLZE JONAH'S ENTERPRISES,1335000,22/04/2020,27/04/2020,"MUNICIPALITY OF NAGUILIAN, ISABELA",1,Not classified,,,
2281,Supply and delivery of Medical and Other Supplies,1334770,15/05/2020,29/05/2020,Ritech Marketing,1334590,14/05/2020,15/05/2020,Municipality of Pagbilao,0.999865145,Not classified,,,
2282,Emergency Purchase of Various Janitorial Supplies/ Medical Supplies & Machine During Covid-19 outbreak,1371500,19/06/2020,23/06/2020,Marcela A. Pagsolingan,1333850,22/06/2020,22/06/2020,LGU- Mangaldan,0.972548305,Not classified,,,
2283,Emergency Purchase of Various Janitorial Supplies /Medical Supplies & Machine during COVID-19 Outbreak,1371500,19/06/2020,24/06/2020,Marcela A. Pagsolingan,1333850,22/06/2020,22/06/2020,LGU- Mangaldan,0.972548305,Not classified,,,
2284,PURCHASE OF MEDICAL SUPPLIES DURING COVID 19,1342546,08/05/2020,08/05/2020,LOURDES PHARMACY,1332062,06/05/2020,06/05/2020,LOCAL GOVERNMENT UNIT OF TAMBULIG,0.992190957,Not classified,,,
2285,Supply and Delivery of Relief Goods for COVID19 (CMO),1331321,16/04/2020,08/05/2020,MARITON GROCERY,1331321,16/04/2020,20/04/2020,LGU TUGUEGARAO,1,Not classified,,,
2286,Procurement of Rice for Social Amelioration,1326534,11/05/2020,13/05/2020,ASRT General Merchandise,1326534,11/05/2020,11/05/2020,CLARK DEVELOPMENT CORPORATION,1,Not classified,,,
2287,Supply and Delivery of Additional Food Supplies for Quick Response in COVID-19,1325248.5,07/05/2020,16/05/2020,RCV Enterprise,1325248.5,07/05/2020,16/05/2020,Municipality of Sibonga,1,Not classified,,,
2288,Negotiated Procurement (Emergency Cases Under Sec. 53.2) for the Supply and Delivery of Medical Supplies for the use in the Bailan District Hospital,1325000,29/05/2020,29/05/2020,JARCARE TRADING CORPORATION,1325000,28/05/2020,29/05/2020,Capiz Provincial Government,1,Not classified,,,
