Name Of Awarded Company,Amount Awarded (in hundred thousands),Average Date Difference
Annabelle Onie CAtering Services,1.485,14.0
APT DRUG TRADING,1.4881,1.0
J & J Tools and General Merchandise,1.4898,1.0
PRO POOR PHARMA,1.48999,7.0
SANTOL MARKETING,1.49,6.0
DOTON TRADING,1.490345,9.0
CENTERA MART,1.49278,1.0
BAGNOS MPC,1.496,49.0
D'RIO MARKETING,1.496,3.0
BLC Commercial,1.4971,15.0
"MEDISAFE PHILIPPINES, INC.",1.4976,10.0
WHITE ROSE PETRON SERVICE STATION,1.4985571,30.0
Virac Gasoline Station,1.49985,15.0
LUCKYCROWN TRADING,1.4999075,3.0
Imelda S. Sapurco,1.5,7.0
Cefekur Garments Industry,1.5,90.0
"PANAMED PHIL., INC.",1.5,7.0
CARESOURCE MEDICAL SUPPLIES,1.5,24.0
"PARAMED PHARMACEUTICALS, INC.",1.5,10.0
"BATAAN MANUFACTURING COMPANY, INC.",1.5,31.0
Pedio's Metal Craft,1.5,5.0
RSG Marketing Corporation,1.5,30.0
BETTY P. TAURO,1.5015,10.0
MK Blessed Printing Shop,1.502,14.0
STARGAS CORPORATION,1.5032573,13.0
Thesson's Marketing,1.505,15.0
VENCILL CUISINE,1.5084,13.0
LEE ANNâ€™S CATERING SERVICES,1.5099,39.0
TIONG SAN LA TRINIDAD,1.512,3.0
JAGAS MEDICANDENTA CORP.,1.512,1.0
Simsu Trading,1.5175,8.0
Mak-C General Merchandise,1.52,4.0
"EC Zuric Biotherapies, Inc.",1.5225,365.0
BEB'S DRYGOOD STORE,1.5264,2.0
A.V. Laynes Trading and Construction,1.52698,8.0
"Dental Concepts, Inc.",1.5278794,7.0
AJ Joylen Store,1.5288,3.0
WYN'S CONSTRUCTION SUPPLIES,1.52976,6.0
siker trading,1.53,7.0
RAMIL T. HERNANDEZ,1.53,1.0
ECD Enterprises,1.53208,14.0
Instatech,1.54,31.0
Joneco Tech Marketing Corp.,1.5406,9.0
NUMERO 6 GENERAL MERCHANDISING,1.54261,17.0
I.O.S MARKETING CORPORATION,1.55,7.0
DBM Procurement Service,1.55132,52.0
Villacastin Catering Services,1.555,90.0
BF Merren Pharmaceuticals,1.555,10.0
"JHG TRADING, INC.",1.55595,7.5
Kimberly Dawn Trading,1.5579374,10.5
Desmark Corp.,1.55995,18.5
ROMY R. MAQUILING,1.56,20.0
JCA Medical Supplies,1.56,10.0
CABRAL BICOLANDIA SUPERMARKET,1.5618725,1.0
Nikki's Multi Concepts & Construction Services Inc.,1.56608,10.0
TRN Enterprises,1.5672,26.0
INTERNATIONAL PHARMACEUTICALS INCORPORATED,1.569,9.0
"Rock Diwata Builders, Inc",1.56903,15.0
Bethel's Karan-an and Catering Services,1.57,34.0
BAYAMBANG LGU EMPLOYEES CONSUMER COOPERATIVE,1.5709,5.0
LEE ANN' S CATERING SERVICES,1.5725,43.0
Marites Catering Servuces,1.575,22.0
VARIOUS,1.57834,72.0
Three Kings General Merchandise,1.58022,5.5
VALLERY ENTERPRISES,1.585,8.0
Rene S. Quingco,1.586,39.0
SQUEEGEE PRINTWORX & SOUVENIRS,1.59,7.0
NIG MARKETING CORPORATION,1.592,9.5
RIA RUBY PENSION HOUSE & FOOD SERVICES,1.5988,1.0
JREV Pharma Drug DIstributor,1.6,14.0
IDS Medical Systems Phils. Inc.,1.6,5.0
Tom'ele-KT Power Systems Inc,1.6,30.0
DV Square Concept and Ventures Corp,1.6,365.0
"Super MLD Trading, Leasing & Services, Inc.",1.6,28.0
D&C DRUGSTORE AND GENERAL MERCHANDISE,1.6,15.0
RAN Construction Supply,1.6,6.0
tlc health and wellness center,1.6,14.0
TAMBO RICE AND CORN MILL,1.6,1.0
BIKOL STORE,1.600395,11.0
MAYTWENTYFIRST TRADING,1.60186,7.0
Mypercom Advertising,1.608,7.0
Albay Computer Electronics Supply and Repair,1.6098,4.333333333333333
Prime Link Pharmaceutical,1.61235,7.0
Kelsey's Trading,1.615,1.0
DBM-PROCUREMENT SERVICES,1.616075,5.0
12 Good Tribes Enterprises,1.6185,4.0
VITA J 88 Pharma House,1.62,6.0
S and S Food Haus,1.62158,25.0
nonima pharma trading,1.623,1.0
Grick Enterprises & Engineering Services,1.62415,14.0
BEN-SIR ADVERTISING & PRINTING SUPPLIES,1.625,7.0
GENACE PHARMA DISTRIBUTOR,1.625,7.0
"LGR ATHLETIC WEARS, INC",1.6296,8.0
La Trinidad Electrical Supply & General Merchandise,1.63,56.0
Arm Art Garment,1.6325,1.0
Twis Catering Services,1.63875,4.0
Choz-A-Medz,1.64491,93.0
"General Electrics Philippines, Inc.",1.6465626999999998,3.0
DESULLAN STORE,1.6497,1.0
MEG Enterprise,1.65,30.0
DBRK. STORE,1.65,3.0
MICAELA'S CATERING SERVICES,1.65,10.0
BILTMORE TRAVEL AND TOURS CORPORATION,1.65,14.0
SONDY ELECTRONIC AND ELECTRICAL SOLUTION,1.65032,4.0
SAM-SAM STORE,1.656,3.0
"ZPH Digital Technologies, OPC",1.6663934,70.0
Ruga Rice Retailer,1.667,110.0
Creek Traveller Cottages,1.6674,15.0
MILAWIN AUTO GLASS AND ALUMINUM SUPPLY,1.6695,9.4
ZY TRADING,1.67475,2.0
"IDS Medical Systems Phils., Inc.",1.675,5.0
FRAMIE WHITEHEAD,1.6758270000000002,93.0
CALSUM STORE,1.679,3.0
OWATAN GASOLINE STATION,1.67915,6.916666666666667
Sandy Malgapo Ferrer/Greenland Leisure Suites,1.68,12.0
"Nikki's Multi-Concepts & Construction Services,Inc.",1.6815,10.0
J ARBEY ENTERPRISES,1.6836,36.5
Boos Nik Enterprise,1.685,15.0
"LIBERTY AND SON'S LA UNION,INC",1.68526,10.5
Dexy Claire Gen. Merchandise,1.689,10.0
MN PARENTS SLP ASSOCIATION,1.69092,15.0
GAISANO CAPITAL BINANGONAN,1.6923545000000002,1.0
Baguio's Finest Security Agency,1.693,1.0
"I.E. Medica, Inc.",1.694,8.0
SIKER TRADING,1.6942858,5.0
Golden Egg Builder,1.7,25.0
Bataan Manufacturing Company Inc,1.7,30.0
RJC Rice & Corn Trading,1.705,30.0
CRIS CABARUBBIAS,1.707405,7.0
Rayos Trading and General Merchandise,1.7096,1.0
GME-MPC,1.71061,4.5
"YAP MABUHAY ENTERPRISES, INC.",1.71405,366.0
Acosta Electrical and Plumbing Supplies,1.71439,1.0
P.T. CERNA CORP.,1.725,10.0
MED-LINES PHARMACEUTICAL PRODUCTS,1.725,3.0
RICHELLE STICKER SIGN,1.72515,5.0
Cebu Glass Supply,1.731,10.0
SAFETY MEDICAL TRAINING,1.73175,15.0
Mamawag Constructtion,1.73228,4.0
"OLTEN INSTRUMENTS, PHILS.CORP.",1.736,15.0
MA. CATALAN STORE,1.73715,2.0
CARASCO STORE,1.7376,6.0
Micel Corporation,1.738645,7.0
Stratoslev Co.,1.74,30.0
Johnclea Catering Services,1.7425,11.333333333333334
Businessworld Publishing Corporation,1.74384,1.0
R.E PHARMACEUTICALS,1.744,2.0
LAMANOSA STORE,1.745,16.0
LIRAG AGRARIAN REFORM FARMERS BENEFICIARIES COOPERATIVE,1.74788,2.0
FERNANDO MEDICAL ENTERPRISES INC.,1.75,9.0
COLORITE MARKETING CORP.,1.75014,30.0
MILAWIN AUTO GLASS & ALUMINUM SUPPLY,1.7506256,10.0
G. Ingles General Merchandise,1.7525,2.0
Winmarie General Merchandise,1.7531,8.0
ADVENTURE TECHNOLOGY OUTFITTERS,1.758,4.0
EZMEDS PHARMA CO.,1.75958,31.0
International Sanitization and Protection Supplier (Philippine Vision Group) Inc,1.76,2.0
JONECO TECH. MARKETING CORP.,1.77,7.0
"Janissa Healthcare Philippines, Inc.",1.7725,365.0
Genruz Construction & Supplies,1.776,7.0
JOEL CALEDA,1.776,30.0
JF Llagas Enterprises,1.7767,10.0
MMD Glassware and General Merchandise,1.7773,7.0
Shan Pharmaceutical Dealer & Drug Store,1.78,7.0
K101 PHARMA,1.7805,2.0
MI TIENDA TRADING,1.78452,5.5
A4M Water Equipment and Supplies,1.787764,7.0
Panamed Phils. Inc.,1.7943,3.0
Bering Store,1.796,1.75
XIANEX MARKETING,1.797,15.0
"NEMA ELECTRICAL & INDUSTRIAL SALES, INC.",1.7990279999999998,30.0
HBC ENTERPRISES,1.7999,2.0
Sy Medical Trading Corporation,1.8,365.0
(FMEI)- Fernando Medical Enterprises Inc.,1.8,365.0
MARIBERT CORPORATION,1.8,24.0
SAINT MARK CONSTRUCTION SUPPLY,1.8,17.0
QMEDS ENTERPRISE,1.8,14.0
AVN Elevator and Escalator Installation Services,1.8,30.0
Jenie Rice Trading,1.8,4.0
ARLENE PACLIBAR,1.8,47.0
JANFRANZ STORE,1.8,3.0
REYNALDO A. MARIÃ‘O,1.8,5.0
"NEWTON INTEGRATED SOLUTIONS, INC.",1.8,15.0
Eliasaph Diagnostic Solutions Inc.,1.8,365.0
JEUS CANTEEN AND CATERING SERVICES,1.8,14.0
Pedro Restaurant,1.8003637,41.0
BNRG Catering,1.80075,14.0
ELJ1 Medical Shop,1.808,7.0
"Ace Electronic Technology, Inc.",1.8084,77.0
Ellen Fruit and Vegetables Retailer,1.8085295000000001,11.0
"JAYLO SUNAYAN, JR.",1.80895,1.0
F.C. Andres Drug Distributor,1.8095,1.0
S.V. ANG HARDWARE CORPORATION,1.81656,46.0
SUNRAY'S BUILDER AND CONSTRUCTION SUPPLIES,1.81785,10.0
BATAAN PENINSULA MEDICAL CENTER,1.819125,4.0
DKD Marketing,1.82,4.0
Ederlina R. Panelo,1.8221,4.0
JENNY & NOY CATERING,1.824,17.0
KEC Electrical Construction Services,1.8348498000000002,6.0
"St. John Lumber & Hardware, Inc.",1.83644,7.0
J-Son Meat Shop,1.8372,7.0
Savers Electronic World,1.8373321999999996,2.0
JAKKMAR MEDICAL SUPPLY,1.8387,15.25
GERMZERO ADVANCE CLEANING SOLUTIONS,1.84,4.0
Cynthia Bersoto,1.85,5.0
Joseph Mendoza,1.85,5.0
Medisafe Philippines Inc.,1.85,22.0
Pedro Aday,1.85,5.0
S.O.S. Minimart Grocery Products Distribution,1.85,13.0
MYLIN BOOL,1.85,5.0
Danilo Bool,1.85,5.0
NISSI RAPHA DRUG MART,1.85376,8.0
PRIMEGOLD CARE TRADING,1.8624,12.5
TeamDigital Advertising,1.8675,15.0
G-MAR TRADING,1.8675,15.0
RIGHT CHOISE MEDICAL PRODUCTS,1.871885,7.0
CHRONOTECH MEDICAL SUPPLIES AND SERVICES,1.875,1.0
LSV GLOBAL VENTURES INC.,1.875,7.0
TOP ONE PHARMA,1.8765,10.0
Golden V Shell Station,1.8778046,7.0
MJCL CCTV Installation & Security Product,1.88,29.0
"Phil. Pharmawealth, Inc.",1.881612,8.0
"MANDAUE FOAM INDUSTRIES, INC.",1.882892,30.0
Umblas Sari-Sari Store,1.8853,7.0
RPD Chem Enterprises,1.8861,10.0
Sun East Asia Corporation,1.8885,36.0
BSU Garments,1.89,60.0
Panukulan Sari-Sari Store,1.89483,4.666666666666667
DYSECKO Enterprises Corporation,1.895,2.5
HAMILTON PHILIPPINES INC.,1.8999,5.0
"MEDTEK MEDICAL TRENDS & TECHNOLOGIES, INC",1.9,1.0
STALL CONSTRUCTION SUPPLIES & SERVICES,1.9,11.0
"MEDICAL TRENDS & TECHNOLOGIES (MEDT2EK), INC.",1.9,15.0
TRICHE MEDICAL SUPPLY,1.9,7.0
RJS MARKETING,1.90384,26.5
ZUELLIG PHARMA CORP.,1.904404,7.5
AMORETTE RESTAURANT & CATERING SERVICES,1.90481,6.5
APT Drugs Trading,1.908,60.0
GALMOR HARDWARE AND CONSTRUCTION SUPPLIES,1.91031,1.0
POSITIVE TRAVEL AND TOURS,1.9116479000000002,108.0
MACRIK PHILS. VENTURE INC.,1.9125,14.0
"TWO BROTHERS GROCERY, INC.",1.915,7.0
Reinsdale Enterprise,1.92,365.0
Brainen general Merchandise,1.925,7.0
HANJENN ENTERPRISES,1.9299,3.0
MAGIC CLUB INCORPORATED,1.93499,8.75
"LJ Mobile Catering Services, Ipil",1.9412436,4.0
"Biomedica Healthcare, Inc.",1.9455,15.0
Cafe Bernadette,1.9465,9.0
BINGAWAN GASOLINE STATION,1.9499988000000001,23.25
Pink 24/7 Pharmacy Corp,1.95,30.0
ATS HOME INTERIORS,1.95,7.0
JELEEBEE SUPERMART,1.95,30.0
TRISK WARES TRADING,1.95,4.0
MCJ Summit Enterprise,1.95248,10.0
"QUEBEC PHARMACEUTICALS, INC.",1.9535,4.0
KYLE WILLIAM ENTERPRISES,1.95628,12.0
ATSKI GEMS AND FASHION TRENDS,1.95853,3.0
Garie and Josie Meat Shop,1.95915,9.0
168 Paragon International General Contractor & Equipment,1.96,10.5
"COMMUNITY MEDIA NETWORK (COMNET), INC.",1.96015,199.0
GREENERGY VENTURES CORPORATION,1.96047,6.0
"Berovan Marketing,Inc.",1.97084,14.0
ZAMBOANGA MEDICAL SUPPLIES EQUIPMENT & GEN. MDSE,1.9712,14.0
zuellig pharma corp.,1.9712,8.0
TIGER OIL GAS S TATION,1.9726789999999998,25.0
M.B. Sanitation Supplies,1.97515,2.0
MegaSDM Industrial Sales Co.LTD.,1.976,365.0
ROBERTO B. BAÃ‘ES,1.9795,61.0
Biomedico Trading,1.9797,10.5
Procurement of Various Medical Supplies with Purchase Request Number 07-00001-C,1.98,7.0
J AGRO TRADERS CORPORATION,1.98,7.0
"E-LIFE PHARMA, INC.",1.982,14.0
RICH SPOON CATERING SERVICES,1.9824,20.0
MAURA GESHA'S STORE,1.98332,3.0
ICO'S CATERING SERVICES,1.984,20.5
Medical Test Systems Inc,1.98513,30.0
RAF OFFICE SUPPLIES AND EQUIPMENT TRADING,1.98612,1.0
Triple Star Marketing,1.9875,6.0
RM Revive Medic Pharmaceutical,1.98765,1.0
Loriele Pharmaceuticare,1.98838,9.0
Iloilo Izeem Comercial,1.9884,39.0
"MADULAO'S TRADING, CATANAUAN, QUEZON",1.98906,3.0
3J Trading & Gen. Mdse.,1.991075,4.0
PRINCE PHILIP AGRI TRADING,1.9975,5.0
Botica Sto. Rosario Drug and Medical Supplies,1.9978,17.0
STY Batac Agro Industrial Trading,1.998,10.0
COMPUSPEC SALES AND SERVICES,1.99832,43.0
"4J's Tech, Equipment, Gadgets and General Merchandise",1.9991,2.0
RED'S CATERING,1.9992,13.0
MGC GENERAL ENTERPRISES,1.9992,2.0
JASMIN PLACE AND CATERING SERVICES,2.0,99.0
ROSTAN GASOLINE SERVICE STATION,2.0,1.0
Melanie A. Pana,2.0,1.0
CARGOFLEX HAULERS CORPORATION,2.0,5.0
Mariveles Women and Community Multi Purpose Cooperative,2.0,13.0
Mariveles Women And Community Multi Purpose Cooperative (Mwcmpc),2.0,13.0
HOSPICARE MEDICAL SUPPLIES CORP,2.0,6.0
AgreExplore,2.0,14.0
Michel Lhuillier Financial Services,2.0,89.0
Yona Venice Eatery & Catering Services,2.0,8.0
"EQUILIFE MEDICA EQUIPMENT, SUPPLIES & SERVICES, INC.",2.0,38.0
Roselyn R. Pasia,2.0,1.0
DJ CALTEX STATION,2.0,6.0
Blessed St. John Pharmaceuticals and GEneral Merchandise,2.001,21.0
JAYR AND JHO TRADING,2.001,14.0
SORSOGON AGRO-AQUATIC DEVELOPMENT COOPERATIVE,2.00244,3.0
JAYLO T. SUNAYAN SR.,2.0025,1.0
DYAR 765 SONSHINE RADIO-CEBU,2.0025,121.0
Nutridense Food Manufacturing Corporation,2.0064,21.0
JENMAR PHARMA,2.008169,6.0
Halibwayan Friendly Place Enterprise,2.00846,14.0
Asian Trading,2.0099,7.0
SERVICIA MEDICA ENTERPRISES,2.01449,1.0
BLESSED ST. JOHN PHARMACEUTICALS,2.0145,4.0
"Multiflex RNC Philippines, INC.",2.01958,21.0
THEA COMPUTER SALES SERVICES & ENTERPRISES,2.0254,7.0
C AND T TRADING,2.027,24.0
PEDIATRIC ASSOCIATES INC,2.028,60.0
ZN Comptech Enterprises,2.031,1.0
C3R AGRIVET SUPPLY,2.0329,2.0
MOLAVE TRADING INC.,2.0344320000000002,20.0
ALDRUG DISTRIBUTOR,2.035354,7.0
"Zafire Distributors,Inc",2.04,19.0
ESM Learning Enterprises,2.0425,15.0
DSC Inc.,2.05,6.0
RESTAURO STORE,2.05,80.0
CORE SECURITY SOLUTION PROVIDER,2.051438,6.0
Jaime Lagras General Merchandise,2.0528,11.0
Ferma Drug Enterprises,2.0541,11.0
Shurline Corporation,2.055524,17.5
NEW ORLEANS HOTEL,2.057,11.0
CAMPOAMOR GROCERS,2.0609932,74.0
Austin's Kitchen Catering Servces,2.06188,19.0
RAJ4 SHELL SERVICE STATION,2.0703942,14.0
"Aquasafety Solutions, Inc.",2.075,6.0
COSTSAVER'S SUPERMARKET INC.,2.0754,5.0
A & A TRADING AND SERVICES,2.08,19.0
Allied Hospital Supply International Corporation,2.08,9.5
"RENTOKIL INITIAL PHILIPPINES, INC.",2.0812,362.0
"DE ROSE OF MIDSAYAP, INC. - GROCERY DEPARTMENT",2.0825,8.0
Talico Industrial & Construction Supply,2.08505,14.0
Carasco Store,2.08573,11.0
Compadre Glass Supply & Hardware,2.0916,7.0
M.A TAMAYO ENTERPRISES,2.095,4.0
Apple Cherry Rice & Corn Retialer,2.1,79.0
RCB Hardware,2.1,41.0
GRB Enterprises,2.1014,1.0
MS CASTILLO CONSTRUCTION,2.102415,4.0
Legazpi Jebson Trading,2.11808,4.0
TERRA TECH Marketing,2.11875,14.333333333333334
LABMATE PHARMA INC.,2.12,7.5
Pinamalayan Trading,2.1222,5.0
KAMBAL CLEANING ENTERPRISES,2.12349,42.5
RNSV Corporation,2.12941,7.0
PNJ General Merchandise,2.13075,21.0
Art Explorer Computer Services,2.14098,18.0
VICTORIA T. CANONICATO/JENNY ROSE B. DUBLADO/JAYMAR T. EMBATE/BERT C. ALFONSAJIM,2.15,49.0
3J's & T Food Services,2.156,29.0
L-ZAY Medical Enterprises,2.158,8.0
l,2.158,8.0
"Rock Diwata Builders, Inc.",2.15916,15.0
BC ENTERPRISE,2.16118,10.0
CHAROEN POKPHAND FOODS PHILS. CORP.,2.16122,3.0
Wesleykurt Transport,2.165,7.0
CIRCLE TRANSPORT CORPORATION,2.17,1.0
SANCHEZ MINI MART,2.17276,7.0
JBY Marketing,2.17296,10.0
Avila Medical and Hospital Supplies,2.176,4.5
KAD Pharma,2.1819245,15.0
Printer's Mark,2.182,5.0
Apollos Feedmill,2.184,37.0
Malyka International Trading,2.18965,35.5
TOP One Pharma,2.19275,6.0
Alvin Tumanda,2.193,2.0
Goldbeam Construction & Supply,2.19485,98.0
JCRS TRADING,2.195,22.0
Rolly and Elma Rice Dealer,2.195,6.0
"Nanoscience, Inc.",2.195,14.0
RJMQ TRADING,2.2,15.0
Pauleaster Upholstery and Supplies,2.2,7.0
PALAYA CORPORATION,2.2,15.0
Willy and Sons Corp.,2.2,7.0
Juniper 3 Procurement Corp.,2.2,3.0
lifeline diagnostics,2.2,97.0
DOUGLAS NERI,2.2,7.0
PURCHASE OF COLLAPSIBLE TENTS,2.2,31.0
CEFEKUR GARMENTS INDUSTRY,2.2,10.0
RPO COSMETIC LABORATORY CORP.,2.2,10.0
FB Triqam Pharma and General Mdse.,2.2,14.0
New Silangan Hardware and Fishing Supply,2.201775,6.0
NG KHAI DEVELOPMENT CORPORATION,2.205,43.0
XARIS FUNCTION & EVENT CENTER,2.207,10.0
"CITY HARDWARE MINDANAO, INC.",2.2147,15.0
UNONORTE PHARMA AND MEDICAL SUPPLIES TRADING,2.215,15.0
Apayao Bazaar,2.221,14.0
Bongabong Coconut Farmer's Multi-Purpose Cooperative,2.2235,10.0
MVRN AGRI-MACHINERIES ENTERPRISES,2.22523,31.0
PharmaGen Ventures Corp.,2.229675,9.0
"OMNIBUS BIOMEDICAL SYSTEMS, INC.",2.23,3.0
MED ONE MEDICAL EQUIPMENT & SUPPLIES,2.234,17.0
DAVIEN'S GENERAL MERCHANDISE,2.234455,15.0
John Mark's Food House,2.238,18.0
Cris Grains Corner,2.2385,8.0
BELLE SOUTH PACIFIC PROPERTIES INC.,2.24,17.0
"Ta-ala Farms, Inc.",2.242,10.0
DnJ DOULOS PHARMA and DIAGNOSTIC DISTRIBUTOR,2.2422,20.0
GOLD-NHAJJA TRADING,2.2488,30.0
HOG COCKER'S TRADING,2.2499,5.0
MDL Poultry and Supply,2.2499994,30.0
Bedmaster Manufacturing Corporation,2.25,2.0
ATG AGRI-VET AND LIVESTOCK SUPPLY,2.25,16.0
Ernielitas Dormitel & Events venue,2.25,92.0
N LLAGAS FEEDS SUPPLY,2.25,6.0
MANALON AGRI SUPPLY,2.25,99.0
TUNGKEE TRADING AND GEN. MDSE.,2.25,6.0
Benison Enterprises,2.251,14.0
Agro Industriya Trading,2.2533,32.0
"YANIT AIRCONDITIONING SALES, REPAIR & SERVICES",2.2562,7.0
BNAR Enterprises,2.2652,129.33333333333334
Rumen Nutrition Solutions,2.268,21.0
BLACKHAWK CCTV SYSTEMS,2.27125,15.0
Scorvir Trading,2.27343,10.0
Molina's General Builders,2.2736,18.0
EUPHAREX PHARMACEUTICALS INC.,2.275,13.0
"OMNIFAB, INC.",2.277,23.0
Sahar International Trading Inc.,2.28,10.0
JMB SCHOOL AND OFFICE SUPPLIES,2.2863,4.0
SASGIE GENERAL MERCHANDISE,2.296,2.0
"a-z market enterprise developers, inc.",2.3,17.0
CALUTAN'S MARKETING,2.3,15.0
Jenia Marketing,2.3,14.0
Mopesa Car Rental,2.302,7.0
The Laguna Creamery Inc,2.304,16.0
"J&P Cantina, Inc.",2.3131938,39.0
Medical Center Trading Corp,2.3152,19.0
MICEL CORPORATION,2.3175,10.0
G-Cor Pharmacy,2.32123,4.0
ANB Pharmacueticals,2.3232176,32.0
Lucky Angel Medical Supply,2.3234,7.0
G.D.R. CATERING AND PARTY NEEDS,2.331,22.5
Wisenheimer Trading,2.3323,1.3333333333333333
Joza Enterprises,2.336404,7.0
INTERWORLD ENTERPRISES,2.34,7.0
DLS Food House and Catering Services,2.34,4.0
AO BIO MED and Industrial Marketing,2.34,21.0
"Health Solutions Ent., Inc.",2.35,7.0
Angel's Department Store,2.35116,11.0
Profcare Medical and Linen Supplies,2.3516,365.0
JEMRICH GENERAL MERCHANDISE,2.35513,7.0
Libertad Consumer Corporation,2.3595,13.0
Casureco III,2.3600773999999998,31.0
LEEAN MEDICAL & SURGICAL SUPPLY - CEBU CITY,2.3625,11.0
THE NEW BENJO'S DRUGSTORE,2.364,8.5
FB Triqam and Genral Mdse.,2.3645,7.0
QA Turrecha Physical Theraphy & Medical Supplies,2.37,7.0
J AND G MARKETING & INDUSTRIAL SUPPLY,2.37375,15.0
"RUEY SHING REF & EQUIPT CO., LTD",2.375,11.0
Kyross Drug and Marketing Co.,2.375,7.0
K SIGNS AND DESIGNS,2.375,5.0
Greenergy Distributions Corp.,2.3758,2.0
"HOME OPTIONS, INC.",2.379648,30.0
COJ Travel and Tours,2.385,52.0
Sabcare Marketing,2.385,4.0
E&M Trading,2.394724,13.25
Harbest Agribusiness Corporation,2.3998,30.0
Enhanced Medical and Industrial Enterprises,2.4,13.0
"University of the Philippines Los Banos Foundation, Inc.",2.4,26.0
VCG TRADING CORP.,2.4,14.0
Duke Medical0,2.4,30.0
5J&C Place and Catering Services,2.4,20.0
"CENTER POINT SALES & TRADING, INC.",2.4,34.0
SHMIC GENERAL MERCHANDISE,2.40617,49.0
Botica Jill and Convenience Store,2.412235,7.0
KNC RICE RETAILER & WHOLESALER,2.41395,30.0
M.B. SANITATION SUPPLY,2.4192,12.0
A3 OFFICE SUPPLIES AND EQUIPMENT TRADING,2.420395,6.0
Sobimed Pharmaceutical Product Distribution,2.4228,35.0
EC Cantina Trading,2.42287,4.0
A & A's Eatery and Catering Services,2.4239,39.0
GREEN ENERGY TRADING,2.424,7.0
PHARMAGEM MARKETING,2.4257,14.0
PILMARC FOOD SERVICES,2.42705,3.3333333333333335
Ortega General Merchandise,2.4295,3.8333333333333335
NAVIGARA TOURS AND TRAVEL SERVICES,2.43,10.0
RICARDO C. CAMA,2.443682,30.0
Elite Enterprises,2.4438,21.0
"BUENAVISTA CATV, INC.",2.45,211.0
Wellness Pro. Inc,2.45,192.0
Rodica Pharmacy (The Generics Pharmacy),2.45077,7.5
R & L General Merchandise,2.45825,1.0
EJ Jhune General Merchandise,2.46554,8.0
Jeffloyd Electronics Trading,2.4735,1.0
ELIMGEM HOSPITAL SUPPLIES DISTRIBUTOR,2.475,11.0
IKF Home Furnishing and Office Furniture,2.48,2.0
VYH CONSTRUCTION SERVICES AND GENERAL SERVICES,2.4898,6.0
Vishellee Marketing,2.49,13.0
CHOWTIME CUISINE d' Catering Specialist,2.49,25.0
RAIN D. GEN. MDSE.,2.49175,9.0
"CSI Warehouse Club, Inc.",2.493157,1.0
KRYPTON INT'L RESOURCES SALES AND SERVICES,2.4935,31.0
COSTSAVER'S SUPERMARKET INC,2.494,5.0
FERMIDA CONSTRUCTION SERVICES AND SUPPLIES,2.4945364000000003,31.0
TRIPLE STAR MARKETING,2.4948,5.0
ISAIAS TOP MARKETING CORPORATION,2.49909,1.0
"Issitech Information Technologies, Inc.",2.4999,183.0
Jose Clint Baldonado Body and Motorshop,2.5,3.0
Villasis Gastop Corporation,2.5,133.0
KLER CONSTRUCTION AND GENERAL MERCHANDISE,2.5,7.0
RFG MEDICAL PHARMACEUTICAL PRODUCTS AND EQUIPMENT,2.5,14.0
GAD'S CARE,2.5,14.0
Biomedica Health Care Inc.,2.5,6.0
Marivic C. Deliso,2.5,1.0
Romeo H. Sadsad,2.5,1.0
SOUTH CARE COSMETIC MANUFACTURING INC.,2.5,15.0
TRIE VARIETY STORE,2.50118,6.0
Lateo Home Center & General Merchandise,2.501913,2.5
DJ AND LOURIZE WATER DELIVERY,2.502,10.0
DIAMED KINETICS HEALTHCARE ON THE GO,2.504,42.5
Dargie Enterprises,2.5096,16.0
MAVIE'S CATERING SERVICES,2.52,19.0
CHARMS CONSUMER GOODS TRADING,2.52,7.0
NICHOLAS AND STEPHANIE CONSTRUCTION SUPPLY,2.5282322,5.0
Wi-al Construction Builders,2.5293,1.0
Xandria's Dried Fish Store,2.531913,122.0
B.E.Y. ENTERPRISE,2.533,10.0
PEEDOY MART,2.54089,1.0
Greenergy Dist. Corp.,2.5466,6.0
LABSOLUTION TECHNOLOGIES INC.,2.55,4.0
D2RK HOUSEHOLD PRODUCTS TRADING,2.55,7.0
Metro Coolaire Trading Corporation,2.5552768,5.0
JABB VARIETY STORE,2.55792,13.333333333333334
Exal's Rice and Poultry Supply,2.5668,15.0
OGASSIR CORPORATION,2.568419,2.5
M. LIM SERVICE STATION,2.5706304,15.0
Gerboudenviro Public Health Pest Control & Cleaning,2.572,11.5
GREGAN 101 CORP.,2.574,4.0
JMT Biomed Tech Medical Equipment services and Supplir,2.58,31.0
PETRO SELL FUEL STATION,2.58102,12.333333333333334
East Lake Enterprises,2.5888,12.0
Zyneath General Merchandise,2.59,26.666666666666668
"ALOG & COMPANY, INCORPORATEED",2.592,15.0
BBM Machine Shop,2.595,27.0
ABZKO Construction Corp,2.595258,16.333333333333332
Lynbert's Enterprises,2.5954,30.0
ARIEL AND RODA STORE,2.599,56.25
DriveAsia Motor Corporation,2.6,35.0
Queby Enterprises,2.603,10.5
MP ELECTRICAL SUPPLY AND SERVICE,2.6042,10.0
Soleum MRJE Gas Corp.,2.605,31.0
JMINA Catering Services and Gowns,2.60625,5.714285714285714
Tabingo Store,2.619,8.0
SKM COMPUTER TRADING AND GENERAL MERCHANDISE,2.62,10.0
HealthRush,2.625,31.0
CMN Enterprises,2.62646,5.5
Hospimed Innovators Inc.,2.63,7.0
